RA;TEL1;TEL2;TEL3;ENDERECO;ROTA;OBSERVACOES
1208451145SP;;;;;;
120845951XSP;;;;;;
1212332908SP;;;;;;
1208457676SP;;;;;;
1214730929SP;;;;;;
1208466653SP;;;;;;
1217491910SP;;;;;;
1200373959SP;;;;;;
1165802569SP;;;;;;
1166736362SP;;;;;;
1159908229SP;;;;;;
1208749559SP;;;;;;
1200085784SP;;;;;;
1208685466SP;;;;;;
115427763XSP;;;;;;
1165072713SP;;;;;;
1157995664SP;;;;;;
1208749900SP;;;;;;
1208437653SP;;;;;;
1208437859SP;;;;;;
1208473025SP;;;;;;
1202081174SP;;;;;;
115796378XSP;;;;;;
1211099647SP;;;;;;
1200086004SP;;;;;;
1150401990SP;;;;;;
1245596214SP;;;;;;
114719709XSP;;;;;;
1200105898SP;;;;;;
115134476XSP;;;;;;
1150301326SP;;;;;;
1165869111SP;;;;;;
1200094943SP;;;;;;
1200089558SP;;;;;;
1208400745SP;;;;;;
1208573561SP;;;;;;
1208507965SP;;;;;;
1200086387SP;;;;;;
1200086429SP;;;;;;
1166721632SP;;;;;;
1154931407SP;;;;;;
1157015542SP;;;;;;
120008987XSP;;;;;;
1208600369SP;;;;;;
1200089959SP;;;;;;
1158098212SP;;;;;;
1159716080SP;;;;;;
1154290232SP;;;;;;
1158099228SP;;;;;;
1200424426SP;;;;;;
1207465318SP;;;;;;
1151343766SP;;;;;;
121500073XSP;;;;;;
1208783105SP;;;;;;
1159422242SP;;;;;;
1151420748SP;;;;;;
1157108465SP;;;;;;
1239280889SP;;;;;;
1200089704SP;;;;;;
1201093284SP;;;;;;
1207475051SP;;;;;;
1200087471SP;;;;;;
1152386852SP;;;;;;
1200094050SP;;;;;;
1149359456SP;;;;;;
1205168758SP;;;;;;
1200087641SP;;;;;;
120009010XSP;;;;;;
1200087987SP;;;;;;
123928049XSP;;;;;;
1160472154SP;;;;;;
116585157XSP;;;;;;
1208673129SP;;;;;;
1202495357SP;;;;;;
1162278808SP;;;;;;
1208614861SP;;;;;;
1166109811SP;;;;;;
1153204988SP;;;;;;
1200201358SP;;;;;;
1160817613SP;;;;;;
1200407301SP;;;;;;
1147747933SP;;;;;;
1165845441SP;;;;;;
1133906217SP;;;;;;
1160819798SP;;;;;;
1200089595SP;;;;;;
1160780365SP;;;;;;
1160469593SP;;;;;;
115675740XSP;;;;;;
114267728XSP;;;;;;
1160817935SP;;;;;;
1160475118SP;;;;;;
1160818733SP;;;;;;
1160467481SP;;;;;;
1200374071SP;;;;;;
1165869548SP;;;;;;
1165867023SP;;;;;;
1200235988SP;;;;;;
1166563030SP;;;;;;
1160466683SP;;;;;;
1142256650SP;;;;;;
1151228771SP;;;;;;
1200253826SP;;;;;;
1165852548SP;;;;;;
1157120520SP;;;;;;
1157713816SP;;;;;;
1142393392SP;;;;;;
1154279169SP;;;;;;
1200186941SP;;;;;;
1138338278SP;;;;;;
1165865257SP;;;;;;
1215787261SP;;;;;;
1160470984SP;13981836633;;;Rua Getulio Vargas, 18, Jardim Santa Rita;Santa Rita;Meu irmão
1163733672SP;;;;;;
1163843544SP;;;;;;
115835146XSP;;;;;;
1165865531SP;;;;;;
1160464248SP;;;;;;
1160818460SP;;;;;;
1161966195SP;;;;;;
1154934755SP;;;;;;
1160473572SP;;;;;;
1154278694SP;;;;;;
1158536021SP;;;;;;
120434923XSP;;;;;;
1160467948SP;;;;;;
1160473638SP;;;;;;
1200104675SP;;;;;;
1200104390SP;;;;;;
1166619631SP;;;;;;
1200643914SP;;;;;;
1163886257SP;;;;;;
1163887109SP;;;;;;
1148901371SP;;;;;;
1200816997SP;;;;;;
1200089789SP;;;;;;
1154551192SP;;;;;;
1154559804SP;;;;;;
113443960XSP;;;;;;
1167399511SP;;;;;;
1160817704SP;;;;;;
1157988131SP;;;;;;
1200245866SP;;;;;;
1157137817SP;;;;;;
116586650XSP;;;;;;
1201006041SP;;;;;;
1134439829SP;;;;;;
1200458059SP;;;;;;
1133423929SP;;;;;;
1166652336SP;;;;;;
1165866754SP;;;;;;
1205910116SP;;;;;;
116170954XSP;;;;;;
1168015406SP;;;;;;
1200100840SP;;;;;;
116047526XSP;;;;;;
114775875XSP;;;;;;
1211224454SP;;;;;;
1157133952SP;;;;;;
1155960312SP;;;;;;
1148901814SP;;;;;;
1157099476SP;;;;;;
116081935XSP;;;;;;
1200104742SP;;;;;;
1200103737SP;;;;;;
1200100578SP;;;;;;
1147872417SP;;;;;;
1148894512SP;;;;;;
1150232055SP;;;;;;
1157101744SP;;;;;;
1160819130SP;;;;;;
